Epoch	Train_Loss	Val_Loss	OA	AA	Kappa
576	0.9905	0.1813	99.15	96.07	99.03
577	1.0423	0.1815	99.18	96.20	99.07
578	1.0497	0.1817	99.16	96.10	99.04
579	1.0517	0.1825	99.14	96.07	99.02
580	1.0394	0.1817	99.14	95.99	99.02
581	1.0291	0.1823	99.13	95.89	99.00
582	1.0217	0.1836	99.12	95.88	98.99
583	1.0635	0.1819	99.14	95.95	99.02
584	0.9710	0.1791	99.17	96.13	99.06
585	1.0715	0.1804	99.12	95.91	98.99
586	0.9566	0.1802	99.13	95.92	99.00
587	1.0022	0.1786	99.14	95.95	99.02
588	1.1339	0.1803	99.09	95.91	98.96
589	1.0717	0.1803	99.09	95.91	98.96
590	1.0543	0.1822	99.12	95.93	98.99
591	1.1073	0.1819	99.12	95.92	98.99
592	0.9945	0.1799	99.14	96.08	99.02
593	1.0564	0.1803	99.13	96.00	99.00
594	0.9554	0.1783	99.16	96.10	99.04
595	0.9214	0.1797	99.13	96.00	99.00
596	0.9900	0.1800	99.13	96.01	99.00
597	1.0367	0.1792	99.13	96.00	99.00
598	1.0538	0.1788	99.14	95.95	99.02
599	1.0884	0.1762	99.16	96.11	99.04
600	1.0569	0.1788	99.13	95.94	99.00
