Epoch	Train_Loss	Val_Loss	OA	AA	Kappa
133	1.2104	0.2750	98.07	83.94	97.80
134	1.0449	0.2686	97.86	84.50	97.56
135	1.3459	0.2908	98.01	84.08	97.73
136	1.1459	0.3331	96.17	83.60	95.62
137	1.0699	0.2730	98.39	84.98	98.17
138	1.1966	0.2839	98.06	85.34	97.78
139	1.2088	0.2900	97.83	84.82	97.52
140	1.1922	0.3407	96.34	83.47	95.82
141	1.3819	0.2853	98.30	84.94	98.06
142	1.2130	0.2798	98.38	84.89	98.15
143	1.1722	0.3169	96.17	83.54	95.63
144	1.2649	0.3534	95.63	83.04	94.99
145	1.0818	0.3040	97.78	85.39	97.47
146	1.0912	0.2746	97.88	84.81	97.57
147	1.0773	0.2783	97.74	84.86	97.42
148	1.2646	0.3182	96.01	83.95	95.45
149	1.1845	0.2879	97.35	83.30	96.97
150	1.2882	0.3003	97.52	85.00	97.16
151	1.0938	0.2927	96.67	83.28	96.20
152	1.1076	0.2792	97.19	82.91	96.79
153	1.2266	0.2649	98.30	85.26	98.06
154	1.0955	0.2551	98.44	85.40	98.22
155	1.1550	0.2454	98.26	84.55	98.01
156	1.0615	0.2467	98.07	84.17	97.80
157	1.2285	0.2617	98.07	85.57	97.80
158	1.0582	0.2626	98.30	85.75	98.06
159	1.2075	0.2742	97.33	83.88	96.95
160	1.2572	0.2659	97.80	85.26	97.48
161	1.2208	0.2635	98.31	85.71	98.07
162	1.1635	0.2554	98.01	85.51	97.73
163	1.1324	0.2510	98.26	84.60	98.01
164	1.2144	0.2592	98.48	84.98	98.27
165	1.2257	0.2605	98.19	85.52	97.93
166	1.2218	0.2462	98.39	84.62	98.17
167	1.0371	0.2622	98.23	86.44	97.98
168	1.2698	0.3102	97.29	84.60	96.91
169	1.1231	0.2851	97.53	84.84	97.18
170	1.0097	0.2297	98.30	85.38	98.06
171	1.0768	0.2287	98.21	85.53	97.96
172	1.1380	0.2397	98.44	85.80	98.22
173	1.1784	0.2518	98.43	85.74	98.20
174	1.3115	0.2695	98.15	85.70	97.89
175	1.2616	0.2874	98.08	85.84	97.81
176	1.0534	0.2325	98.46	85.70	98.24
177	1.1106	0.2398	98.32	85.78	98.09
178	1.3375	0.2389	98.68	86.49	98.49
179	1.1141	0.2495	98.14	85.92	97.88
180	1.1887	0.2565	98.31	85.33	98.07
181	0.7391	0.2313	98.24	85.72	97.99
182	1.0933	0.2163	98.39	85.13	98.17
183	1.1148	0.2380	98.26	85.39	98.01
184	1.0507	0.2350	98.23	85.48	97.98
185	1.0465	0.2347	98.29	85.49	98.05
186	1.0303	0.2297	98.11	85.87	97.84
187	1.1990	0.2284	98.28	84.67	98.03
188	1.2772	0.2524	98.20	85.59	97.94
189	1.2917	0.2486	98.21	86.28	97.96
190	1.1355	0.2805	97.95	85.34	97.65
191	1.1150	0.2590	98.12	85.36	97.85
192	1.0834	0.2297	98.14	85.97	97.88
193	1.1855	0.2292	98.46	85.56	98.24
194	1.2078	0.2382	98.51	85.68	98.30
195	0.9547	0.2433	98.28	85.45	98.03
196	1.2209	0.2177	98.63	85.73	98.44
197	1.2359	0.2350	98.47	85.84	98.26
198	1.1861	0.2716	98.26	85.43	98.01
199	1.1956	0.2453	98.53	85.85	98.32
200	0.9939	0.2394	98.59	86.19	98.39
201	1.2034	0.2156	98.67	85.94	98.48
202	0.9896	0.2504	98.21	85.48	97.96
203	1.0690	0.2262	98.57	85.32	98.36
204	1.3190	0.2401	97.83	84.25	97.52
205	0.8673	0.2279	98.34	86.14	98.10
206	1.2851	0.2688	97.74	84.84	97.42
207	1.1886	0.2455	98.01	84.41	97.73
208	0.9947	0.2453	98.44	85.98	98.22
209	1.0380	0.2312	98.73	86.58	98.55
210	1.1950	0.2399	98.44	85.58	98.22
211	1.0387	0.2267	98.30	86.24	98.06
212	1.1749	0.2363	98.62	86.14	98.43
213	1.0846	0.2323	98.53	86.08	98.32
214	1.2147	0.2307	98.76	86.50	98.58
215	1.1759	0.2685	98.43	86.30	98.21
216	1.0313	0.2175	98.76	86.38	98.58
217	1.1097	0.2480	97.86	85.80	97.56
218	0.9966	0.2209	98.73	86.06	98.55
219	1.0224	0.2174	98.79	86.33	98.62
220	1.0992	0.2266	98.71	86.27	98.53
221	1.1192	0.2334	98.71	86.24	98.53
222	1.0003	0.2366	98.58	85.65	98.38
223	1.2421	0.2222	98.70	85.72	98.52
224	1.0890	0.2284	98.63	85.99	98.44
225	1.0981	0.2415	98.66	86.00	98.47
226	1.0384	0.2324	98.31	86.05	98.07
227	1.0707	0.2826	96.03	84.72	95.45
228	1.2066	0.2337	98.40	86.19	98.18
229	1.1490	0.2235	98.17	84.87	97.92
230	1.2397	0.2487	98.40	86.37	98.18
231	1.0230	0.2630	97.92	86.08	97.63
232	1.0787	0.2334	98.42	85.90	98.19
233	1.1377	0.2434	98.57	86.31	98.36
234	1.1462	0.2565	98.09	86.04	97.82
235	1.0444	0.2211	98.68	86.24	98.49
236	1.1006	0.2096	98.69	86.56	98.51
237	1.1233	0.2399	98.54	86.15	98.33
238	1.1435	0.2471	97.99	84.78	97.71
239	1.0421	0.2178	98.62	86.41	98.43
240	1.0464	0.2215	98.68	86.37	98.49
241	1.0563	0.1989	98.85	86.55	98.69
242	1.0397	0.2146	98.58	86.57	98.38
243	1.2473	0.2243	98.75	86.48	98.57
244	1.0118	0.2263	98.51	86.08	98.30
245	1.1132	0.3114	96.36	84.21	95.84
246	1.0659	0.2852	97.07	85.31	96.66
247	1.1882	0.2465	98.16	86.06	97.90
248	0.9434	0.2071	98.61	86.11	98.41
249	0.9123	0.2173	98.32	86.49	98.09
250	1.0483	0.2222	98.42	86.07	98.19
251	1.0995	0.2145	98.67	86.05	98.48
252	1.1617	0.2104	98.70	86.30	98.52
253	1.0370	0.2079	98.74	85.86	98.56
254	0.9997	0.2142	98.63	86.25	98.44
255	1.0659	0.2205	98.70	86.28	98.52
256	1.0579	0.2020	98.60	86.37	98.40
257	1.1019	0.2495	97.42	84.66	97.05
258	1.0645	0.2210	98.73	86.41	98.55
259	1.1897	0.2323	98.22	86.00	97.97
260	0.9510	0.2189	98.36	86.06	98.13
261	0.9547	0.1978	98.69	86.09	98.51
262	1.1564	0.2103	98.76	86.33	98.58
263	1.1306	0.2062	98.75	86.29	98.57
264	1.0718	0.2083	98.73	86.13	98.55
265	1.1307	0.2150	98.54	86.24	98.34
266	1.0112	0.1996	98.78	86.32	98.61
267	1.1088	0.2043	98.70	86.28	98.52
268	0.9197	0.2060	98.59	86.28	98.39
269	1.0197	0.2145	98.70	86.33	98.52
270	1.0949	0.2116	98.76	86.42	98.59
271	0.9997	0.2006	98.54	85.58	98.34
272	0.9850	0.2026	98.50	85.59	98.28
273	1.1434	0.2085	98.77	86.31	98.60
274	0.9671	0.2133	98.38	85.83	98.15
275	1.0986	0.2200	98.59	86.33	98.39
276	1.0050	0.2105	98.75	86.68	98.57
277	1.0598	0.2234	97.91	85.81	97.62
278	1.0378	0.2203	98.43	85.47	98.21
279	1.1409	0.2128	98.78	86.47	98.61
280	1.1284	0.2157	98.77	86.29	98.60
281	1.1511	0.2159	98.66	85.48	98.47
282	1.1079	0.2176	98.68	85.79	98.49
283	1.1185	0.2388	98.53	85.95	98.32
284	1.0819	0.2009	98.55	85.66	98.35
285	1.1206	0.2140	98.48	85.57	98.27
286	0.8916	0.1988	98.66	85.91	98.47
287	1.0990	0.2020	98.66	86.19	98.47
288	1.0045	0.2157	98.51	86.29	98.30
289	1.2455	0.2174	98.83	86.35	98.66
290	1.0017	0.2152	98.69	85.86	98.51
291	1.1042	0.2146	98.70	86.72	98.52
292	1.1305	0.2248	98.27	86.47	98.02
293	1.1395	0.2153	98.62	86.21	98.43
294	1.1391	0.2342	98.75	86.15	98.57
295	1.0745	0.2181	98.75	85.80	98.57
296	1.0354	0.2004	98.77	86.18	98.60
297	0.9846	0.2157	98.73	86.79	98.55
298	0.9968	0.2031	98.89	88.73	98.73
299	1.0037	0.2029	98.82	87.85	98.65
300	1.1219	0.2108	98.66	86.46	98.47
301	1.0807	0.2062	98.50	84.83	98.28
302	0.9370	0.1952	98.70	86.22	98.52
303	1.0335	0.1944	98.73	86.40	98.55
304	1.0910	0.2111	98.66	88.28	98.47
305	0.8912	0.1996	98.74	86.35	98.56
306	1.0485	0.2041	98.59	86.09	98.39
307	1.0540	0.1913	98.66	86.45	98.47
308	0.9599	0.1945	98.74	86.78	98.56
309	1.1503	0.2105	98.65	87.14	98.45
310	1.0448	0.2045	98.66	86.25	98.47
311	0.9510	0.1954	98.71	87.09	98.53
312	1.1074	0.1803	98.78	87.34	98.61
313	1.0752	0.2241	98.59	87.92	98.39
314	0.9617	0.2067	98.86	88.99	98.70
315	1.0074	0.2074	98.52	86.08	98.31
316	1.0436	0.2036	98.57	88.44	98.36
317	1.0757	0.2074	98.50	88.42	98.28
318	1.0069	0.1875	98.81	88.14	98.64
319	1.0145	0.1769	98.87	88.31	98.72
320	1.1956	0.2077	98.62	88.58	98.43
321	1.0931	0.2040	98.77	86.98	98.60
322	0.9805	0.1973	98.73	86.82	98.55
323	1.1805	0.2013	98.83	89.14	98.66
324	1.0072	0.2006	98.84	86.82	98.68
325	1.1563	0.1917	98.89	87.73	98.73
326	1.1408	0.2144	98.86	88.93	98.70
327	0.9412	0.1872	98.93	89.62	98.78
328	1.1066	0.2127	98.87	89.53	98.72
329	1.1728	0.2131	98.60	87.30	98.40
330	1.2140	0.2455	98.63	88.74	98.44
331	1.1581	0.2278	97.89	85.24	97.59
332	1.0795	0.1975	98.48	87.14	98.27
333	1.0845	0.2113	98.83	90.29	98.66
334	1.1154	0.2028	98.92	89.73	98.77
335	1.0341	0.2073	98.86	88.75	98.70
336	0.9926	0.1861	98.76	87.38	98.58
337	1.1214	0.1903	98.60	87.96	98.40
338	1.0720	0.2085	98.89	89.85	98.73
339	1.1189	0.2106	98.62	88.97	98.43
340	0.9932	0.1901	98.99	91.00	98.85
341	1.0740	0.1894	98.94	91.26	98.79
342	0.9663	0.1815	98.81	90.81	98.64
343	1.0861	0.1955	98.86	91.46	98.70
344	0.8535	0.1808	98.94	93.12	98.79
345	0.9777	0.1850	98.97	90.64	98.82
346	0.8999	0.1822	98.92	90.42	98.77
347	1.0089	0.1718	98.91	90.53	98.75
348	0.9759	0.1962	98.75	89.52	98.57
349	0.9957	0.1947	98.87	90.76	98.72
350	1.0081	0.1986	98.82	89.67	98.65
351	0.9958	0.1958	98.96	91.53	98.81
352	1.0822	0.1913	98.90	91.59	98.74
353	0.9910	0.1964	98.68	90.59	98.49
354	1.1635	0.1931	98.92	91.03	98.77
355	1.2022	0.2027	98.99	91.92	98.85
